name, phone, email, url, address
Bedrocan Canada Inc., 1-855-420-7887, info@bedrocan.ca, http://bedrocan.ca/, 250A Eglinton Ave East PO BOX 89589 Toronto ON M4P 3E1
Canna Farms Ltd., 1-855-882-0988, info@cannafarms.ca, http://cannafarms.ca/, Maple Ridge BC V2X 7G1 
CanniMed Ltd., 1-855-787-1577, info@cannimed.com, http://cannimed.ca/, 1 Plant Technology Road Saskatoon SK S7K 3J8 
Delta 9 Bio-Tech Inc., 1-855-245-1259, info@delta9.ca, http://www.delta9.ca/, Osborne Village Winnipeg MB R3L 2V9  
In The Zone Produce Ltd., 1-800-420-1707, info@inthezoneproduce.com, http://www.inthezoneproduce.com/, Pleasant Valley Road Armstrong BC V0E 1BE  
Mettrum Ltd., 1-844-638-8786, info@mettrum.com, http://www.mettrum.com/, 1725 Avenue Road Toronto Ontario M5M 0A3 
MedReleaf Corp., 1-855-473-5323, askus@medreleaf.com, http://www.medreleaf.com/, Markham Industrial Park Markham ON L3R 6G4
OrganiGram Inc., 1-855-961-9420, info@organigram.ca, http://www.organigram.ca/, 35A English Dr. Moncton NB E1E 3X3
The Peace Naturals Project, 1-888-647-3223, info@peacenaturals.com, https://peacenaturals.com/, P.O. Box 999 Stayner ON L0M 1S0
ThunderBird Biomedical Inc., 1-778-588-9528, info@thunderbirdmedical.ca, http://www.thunderbirdmedical.ca/, British Columbia 
Tilray, 1-844-845-7291, tilray@tilray.ca, https://www.tilray.ca/, 1100 Maughan Rd Nanaimo BC V9X 1J2
Tweed Inc., 1-855-558-9333, hi@tweed.com, http://www.tweed.com/, 1 Hershey Drive Smiths Falls ON K7A 0A8
Whistler Medical Marijuana Corp., 1-604-962-3440, info@whistlermedicalmarijuana.com, https://whistlermedicalmarijuana.com, 1330 Alpha Lake Rd Whistler BC V0N 1B1
